"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LRAD","LRAD Corporation","2.74","$88.76M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/lrad",
"LXU","Lsb Industries Inc.","6.72","$192.28M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxu",
"LKSD","LSC Communications, Inc.","12.03","$401.59M","2016","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/lksd",
"LYTS","LSI Industries Inc.","4.8","$124.2M","1985","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/lyts",
"LTC","LTC Properties, Inc.","42.06","$1.67B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ltc",
"LUB","Luby&#39;s, Inc.","2.47","$72.87M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/lub",
"LULU","lululemon athletica inc.","124.37","$16.47B","2007","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/lulu",
"LL","Lumber Liquidators Holdings, Inc","19.2","$548.01M","2007","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/ll",
"LITE","Lumentum Holdings Inc.","53.5","$3.37B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/lite",
"LMNX","Luminex Corporation","34.75","$1.54B","2000","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/lmnx",
"LUNA","Luna Innovations Incorporated","4.0899","$111.75M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/luna",
"LBC","Luther Burbank Corporation","11","$622.16M","2003","Finance","Major Banks","https://www.nasdaq.com/symbol/lbc",
"LXFR","Luxfer Holdings PLC","20.01","$530.35M","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxfr",
"LXFT","Luxoft Holding, Inc.","37.9","$1.28B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/lxft",
"LDL","Lydall, Inc.","42.05","$730.59M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ldl",
"WLH","Lyon William Homes","20.18","$767.24M","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/wlh",
"LYB","LyondellBasell Industries NV","108.47","$42.7B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lyb",
"MBTF","M B T Financial Corp","11.5","$264.25M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","174.65","$25.2B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mtb",
"MTB.WS","M&T Bank Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb.ws",
"MTB^","M&T Bank Corporation","1020","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1011.95","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^c",
